,Year,CountryCode,CountryName,TotalRainfall,StationCount,AverageRainfall
360,2012,TZ,Tanzania,5038.6,7,719.8000000000001
361,2000,BE,Belgium,577.1,1,577.1
362,1987,CM,Cameroon,1301.0000000000002,4,325.25000000000006
363,1994,HR,Croatia,13168.2,13,1012.9384615384616
364,1989,BG,Bangladesh,1424.9,8,178.1125
365,1993,SA,Saudi Arabia,15766.0,14,1126.142857142857
366,1995,MP,Mauritius,8503.099999999995,5,1700.619999999999
367,1971,MY,Malaysia,1791.0,5,358.2
368,2012,VM,Vietnam,26270.1,16,1641.88125
369,1966,MZ,Mozambique,8728.300000000003,8,1091.0375000000004
370,1960,BY,Burundi,819.5999999999999,2,409.79999999999995
371,1968,CQ,Northern Mariana Islands [United States],898.0999999999996,1,898.0999999999996
372,1956,AU,Austria,6972.900000000001,7,996.1285714285715
373,1918,WZ,Swaziland,6102.799999999998,5,1220.5599999999997
374,1952,RO,Romania,6203.600000000001,15,413.57333333333344
375,1900,TS,Tunisia,550.1,4,137.525
376,1951,LY,Libya,1464.6999999999998,9,162.7444444444444
377,1857,NL,Netherlands,972.4999999999998,2,486.2499999999999
378,2010,TS,Tunisia,1489.5000000000005,5,297.9000000000001
379,1938,LY,Libya,1656.6,4,414.15
380,1927,BK,Bosnia and Herzegovina,674.8000000000002,1,674.8000000000002
381,1998,AM,Armenia,712.3,3,237.4333333333333
382,1995,MU,Oman,2029.7,12,169.14166666666668
383,1995,NP,Nepal,185.3,2,92.65
384,1918,KG,Kyrgyzstan,255.00000000000006,2,127.50000000000003
385,1960,WZ,Swaziland,4420.999999999999,5,884.1999999999998
386,2002,EG,Egypt,619.6999999999999,11,56.33636363636363
387,2024,FJ,Fiji,6632.300000000001,5,1326.4600000000003
388,1946,AL,Albania,885.6,1,885.6
389,1939,VQ,Virgin Islands [United States],1978.7999999999993,3,659.5999999999998
390,1948,DA,Denmark,4391.0,7,627.2857142857143
391,1896,TS,Tunisia,4.0,2,2.0
392,1892,HR,Croatia,2911.8999999999996,3,970.6333333333332
393,1887,KG,Kyrgyzstan,345.90000000000003,1,345.90000000000003
394,1789,GM,Germany,674.3999999999996,1,674.3999999999996
395,2016,KG,Kyrgyzstan,41.8,5,8.36
396,1959,IV,Cote D'Ivoire,20475.5,11,1861.409090909091
397,1937,DA,Denmark,4483.400000000001,7,640.4857142857144
