,Unnamed: 0,Year,CountryCode,CountryName,TotalRainfall,StationCount,AverageRainfall
8364,8364,2023,SZ,Switzerland,12403.000000000002,9,1378.1111111111113
8365,8365,2023,LY,Libya,1990.2000000000005,15,132.68
8527,8527,2023,IR,Iran,8366.4,29,288.496551724138
8533,8533,2023,EI,Ireland,10277.599999999997,11,934.3272727272724
8588,8588,2023,LA,Laos,5965.199999999999,6,994.1999999999998
8660,8660,2023,DA,Denmark,1255.6999999999998,2,627.8499999999999
8870,8870,2023,VE,Venezuela,231.9,1,231.9
8871,8871,2023,MX,Mexico,26204.2,73,358.9616438356164
8872,8872,2023,LG,Latvia,10559.000000000004,22,479.9545454545456
8873,8873,2023,WA,Namibia,973.4000000000004,7,139.0571428571429
8874,8874,2023,NG,Niger,4754.199999999999,15,316.9466666666666
8875,8875,2023,KZ,Kazakhstan,2054.5,16,128.40625
9015,9015,2023,TI,Tajikistan,3079.0999999999995,19,162.0578947368421
9016,9016,2023,CG,Congo (Kinshasa),940.4,6,156.73333333333335
9017,9017,2023,IV,Cote D'Ivoire,18255.8,14,1303.985714285714
9233,9233,2023,BX,Brunei,2598.3,1,2598.3
9278,9278,2023,GI,Gibraltar [United Kingdom],305.60000000000014,1,305.60000000000014
9355,9355,2023,NS,Suriname,1850.299999999998,1,1850.299999999998
9454,9454,2023,AR,Argentina,41720.60000000001,80,521.5075000000002
9455,9455,2023,FR,France,56222.2,74,759.7594594594594
9456,9456,2023,RS,Russia,246715.5000000001,588,419.5841836734695
9636,9636,2023,HR,Croatia,3238.799999999998,3,1079.5999999999992
9794,9794,2023,BU,Bulgaria,2238.5,4,559.625
10031,10031,2023,MK,Macedonia,2104.7000000000007,4,526.1750000000002
10032,10032,2023,BO,Belarus,10483.600000000002,28,374.41428571428577
10033,10033,2023,ZA,Zambia,55.50000000000001,3,18.500000000000004
10218,10218,2023,GB,Gabon,4286.599999999999,3,1428.866666666666
10758,10758,2023,MO,Morocco,2692.900000000001,12,224.40833333333345
10778,10778,2023,SY,Syria,403.4,5,80.67999999999999
10810,10810,2023,MD,Moldova,1905.8,7,272.25714285714287
11092,11092,2023,AM,Armenia,27213.200000000004,12,2267.766666666667
11093,11093,2023,CH,China,140376.89999999994,210,668.4614285714283
11094,11094,2023,CQ,Northern Mariana Islands [United States],9001.799999999996,4,2250.449999999999
11442,11442,2023,LE,Lebanon,456.9,2,228.45
11609,11609,2023,AG,Algeria,12079.299999999996,56,215.70178571428568
11742,11742,2023,ET,Ethiopia,3655.8,6,609.3000000000001
11743,11743,2023,PE,Peru,4455.400000000001,19,234.49473684210528
11780,11780,2023,CV,Cape Verde,163.9,2,81.95
11837,11837,2023,CE,Sri Lanka,13819.499999999998,6,2303.2499999999995
11838,11838,2023,HU,Hungary,5795.099999999999,8,724.3874999999998
11839,11839,2023,LH,Lithuania,2815.7000000000003,15,187.7133333333333
11914,11914,2023,NI,Nigeria,1655.3,8,206.9125
11963,11963,2023,MR,Mauritania,57.5,2,28.75
12246,12246,2023,MA,Madagascar,11476.199999999995,15,765.0799999999998
12253,12253,2023,GV,Guinea,9106.5,8,1138.3125
12295,12295,2023,CD,Chad,2748.0,8,343.5
12476,12476,2023,SN,Singapore,2317.9,1,2317.9
12503,12503,2023,JM,Jamaica,1720.7999999999995,2,860.3999999999999
12532,12532,2023,SE,Seychelles,2439.199999999998,1,2439.199999999998
12660,12660,2023,BL,Bolivia,23123.1,31,745.9064516129032
12661,12661,2023,RO,Romania,17553.300000000003,30,585.1100000000001
12903,12903,2023,BC,Botswana,725.0000000000002,5,145.00000000000006
12904,12904,2023,RI,Serbia,2203.7,3,734.5666666666665
12972,12972,2023,WQ,Wake Island [United States],505.00000000000045,1,505.00000000000045
13012,13012,2023,SB,Saint Pierre and Miquelon [France],1070.699999999999,1,1070.699999999999
13034,13034,2023,GY,Guyana,3069.0999999999976,2,1534.5499999999988
13199,13199,2023,FM,Federated States of Micronesia,76876.70000000004,20,3843.835000000002
13200,13200,2023,BN,Benin,5758.899999999998,6,959.8166666666664
13270,13270,2023,GH,Ghana,12078.8,17,710.5176470588235
13314,13314,2023,CF,Congo (Brazzaville),11164.7,15,744.3133333333333
13347,13347,2023,MP,Mauritius,7018.299999999997,5,1403.6599999999994
13348,13348,2023,SI,Slovenia,22713.1,18,1261.8388888888887
13473,13473,2023,AU,Austria,8428.699999999999,9,936.522222222222
13474,13474,2023,CJ,Cayman Islands [United Kingdom],1173.3999999999996,1,1173.3999999999996
13475,13475,2023,GL,Greenland [Denmark],4367.899999999998,7,623.9857142857139
13483,13483,2023,BM,Burma,10556.1,5,2111.22
13863,13863,2023,EG,Egypt,164.50000000000003,7,23.500000000000004
13953,13953,2023,NP,Nepal,2280.299999999999,2,1140.1499999999994
14035,14035,2023,BK,Bosnia and Herzegovina,7653.200000000005,6,1275.5333333333342
14054,14054,2023,BP,Solomon Islands,8068.299999999999,3,2689.433333333333
14161,14161,2023,MT,Malta,114.69999999999992,1,114.69999999999992
14263,14263,2023,CI,Chile,2577.6000000000013,18,143.20000000000007
14264,14264,2023,UK,United Kingdom,94064.8,96,979.8416666666668
14370,14370,2023,TS,Tunisia,1204.3000000000004,5,240.86000000000007
14371,14371,2023,GR,Greece,4413.8,10,441.38
14441,14441,2023,EZ,Czech Republic,8887.599999999995,11,807.9636363636359
14636,14636,2023,CW,Cook Islands [New Zealand],951.8999999999996,1,951.8999999999996
14692,14692,2023,NU,Nicaragua,0.0,1,0.0
14705,14705,2023,JN,Jan Mayen [Norway],571.3000000000001,1,571.3000000000001
14730,14730,2023,SU,Sudan,68.1,1,68.1
14859,14859,2023,UP,Ukraine,12396.400000000003,30,413.2133333333334
14982,14982,2023,RM,Marshall Islands,18592.6,6,3098.7666666666664
15199,15199,2023,RE,Reunion [France],1528.1999999999985,1,1528.1999999999985
15432,15432,2023,US,United States,22089155.60000001,30891,715.0676766695805
15516,15516,2023,NZ,New Zealand,14975.899999999976,12,1247.9916666666647
15604,15604,2023,FJ,Fiji,8623.7,5,1724.7400000000002
15633,15633,2023,BG,Bangladesh,23558.19999999999,10,2355.819999999999
15961,15961,2023,TH,Thailand,70991.4,45,1577.5866666666666
15962,15962,2023,KS,"Korea, South",7431.799999999999,11,675.6181818181817
16138,16138,2023,TO,Togo,1934.4,6,322.3999999999999
16297,16297,2023,PO,Portugal,2498.1000000000004,7,356.8714285714286
16355,16355,2023,WF,Wallis and Futuna [France],2751.9000000000005,1,2751.9000000000005
16548,16548,2023,CA,Canada,1118829.7,1715,652.378833819242
16549,16549,2023,SP,Spain,86085.0,178,483.623595505618
16550,16550,2023,VM,Vietnam,23845.8,14,1703.2714285714285
16551,16551,2023,ES,El Salvador,692.8,2,346.4
16822,16822,2023,MC,Macau S.A.R,2055.8,1,2055.8
16928,16928,2023,BE,Belgium,1024.5999999999997,1,1024.5999999999997
17084,17084,2023,AS,Australia,2420964.5000000005,4061,596.1498399409014
17085,17085,2023,MU,Oman,2233.1,27,82.7074074074074
17086,17086,2023,ZI,Zimbabwe,615.1000000000001,3,205.0333333333334
17336,17336,2023,BA,Bahrain,58.49999999999998,1,58.49999999999998
17337,17337,2023,PL,Poland,6727.299999999997,10,672.7299999999998
17496,17496,2023,LU,Luxembourg,882.6000000000001,1,882.6000000000001
17531,17531,2023,CB,Cambodia,1877.5999999999997,1,1877.5999999999997
